morphospecies	ordered_vines	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
0_Vitis_riparia	x097_588710	1.00E-05	1.80E-05	1.00E-05	1.00E-05	1.00E-05	1.50E-05	1.10E-05	1.00E-05	0.999896	1.00E-05
0_Vitis_riparia	x098_588710	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05
0_Vitis_riparia	x099_588710	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.10E-05	1.00E-05	1.00E-05	0.999909	1.00E-05
0_Vitis_riparia	x100_588718	1.00E-05	1.00E-05	1.00E-05	0.119381	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.023534	0.857016
0_Vitis_riparia	x101_594344	1.00E-05	1.00E-05	1.00E-05	0.098794	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.050151	0.850986
1_Vitis_acerifolia	x102_1583	0.999907	1.00E-05	1.00E-05	1.20E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x103_318684	0.107458	1.00E-05	1.00E-05	0.078464	0.068703	1.60E-05	0.132551	1.00E-05	0.060805	0.551973
1_Vitis_acerifolia	x104_588141	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x105_588144	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x106_588324	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x107_588325	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x108_588393	0.178155	1.00E-05	1.00E-05	0.074924	0.08851	1.00E-05	0.258898	1.00E-05	0.025147	0.374327
1_Vitis_acerifolia	x109_588442	0.212945	1.00E-05	1.00E-05	0.02061	0.035376	1.00E-05	0.397888	1.00E-05	0.026025	0.307117
1_Vitis_acerifolia	x110_588448	0.419703	1.00E-05	1.00E-05	0.012068	1.00E-05	1.00E-05	0.422701	1.00E-05	0.012959	0.13252
1_Vitis_acerifolia	x111_588448	0.414046	1.00E-05	1.00E-05	0.017068	1.00E-05	1.00E-05	0.440751	1.00E-05	0.030948	0.097138
1_Vitis_acerifolia	x112_588448	0.376427	1.00E-05	1.00E-05	1.00E-05	0.006419	1.00E-05	0.440074	1.00E-05	1.00E-05	0.17702
1_Vitis_acerifolia	x113_588448	1.00E-05	1.00E-05	0.258751	0.11621	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.624969
1_Vitis_acerifolia	x114_588448	0.385793	1.00E-05	1.00E-05	0.031655	1.00E-05	1.00E-05	0.449733	1.00E-05	1.00E-05	0.132758
1_Vitis_acerifolia	x115_588459	1.00E-05	1.20E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.999908	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x116_588459	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x117_588459	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x118_588459	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x119_588459	0.027902	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.972018	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x120_588459	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x121_588459	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x122_588459	1.00E-05	1.10E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.999909	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x123_588459	0.018219	1.00E-05	1.00E-05	0.014573	1.00E-05	1.00E-05	0.957982	1.00E-05	0.009167	1.00E-05
1_Vitis_acerifolia	x124_588459	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x125_588459	1.00E-05	1.00E-05	1.00E-05	0.023473	1.00E-05	1.00E-05	0.976447	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x126_588459	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x127_588459	1.00E-05	1.00E-05	1.00E-05	0.038044	1.00E-05	1.00E-05	0.961876	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x128_588459	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x129_588459	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x130_588459	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x131_588459	1.30E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.999907	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x132_588459	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x133_588459	0.003102	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.97515	1.00E-05	0.021678	1.00E-05
1_Vitis_acerifolia	x134_588459	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x135_588459	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05
1_Vitis_acerifolia	x136_588459	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05
2_Vitis_rupestris	x137_588147	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
2_Vitis_rupestris	x138_588160	1.50E-05	1.00E-05	1.00E-05	1.00E-05	0.999905	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
2_Vitis_rupestris	x139_588181	0.040313	1.00E-05	1.00E-05	1.00E-05	0.959607	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
2_Vitis_rupestris	x140_588188	0.002333	1.00E-05	1.00E-05	1.10E-05	0.894744	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.102852
2_Vitis_rupestris	x141_588225	0.134792	1.00E-05	1.00E-05	0.036171	0.645185	1.00E-05	0.075649	1.00E-05	0.001457	0.106707
2_Vitis_rupestris	x142_588228	1.00E-05	1.00E-05	1.00E-05	0.005225	0.782637	1.00E-05	0.093467	1.00E-05	0.017731	0.10089
2_Vitis_rupestris	x143_588229	1.00E-05	1.00E-05	1.00E-05	0.072404	0.865008	1.00E-05	1.00E-05	1.00E-05	0.023025	0.039504
2_Vitis_rupestris	x144_588330	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
2_Vitis_rupestris	x145_588331	0.087099	1.00E-05	1.00E-05	1.00E-05	0.653633	1.00E-05	0.169658	1.00E-05	0.013459	0.0761
2_Vitis_rupestris	x146_588333	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
2_Vitis_rupestris	x147_588355	1.00E-05	1.00E-05	1.00E-05	0.062099	0.931175	1.00E-05	1.00E-05	1.00E-05	0.006656	1.00E-05
2_Vitis_rupestris	x148_588415	0.118256	1.00E-05	1.00E-05	1.00E-05	0.530326	1.00E-05	0.197484	1.00E-05	1.00E-05	0.153874
2_Vitis_rupestris	x149_588454	1.00E-05	1.00E-05	1.00E-05	0.025983	0.586746	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.387201
2_Vitis_rupestris	x150_588454	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
2_Vitis_rupestris	x151_588454	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
2_Vitis_rupestris	x152_588454	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.999909	1.00E-05	1.00E-05	1.00E-05	1.10E-05	1.00E-05
2_Vitis_rupestris	x153_588454	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
2_Vitis_rupestris	x154_588454	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
2_Vitis_rupestris	x155_588454	1.00E-05	1.00E-05	1.00E-05	0.019688	0.828294	1.00E-05	1.00E-05	1.00E-05	0.016825	0.135134
2_Vitis_rupestris	x156_588540	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05
2_Vitis_rupestris	x157_588574	0.13129	1.00E-05	1.80E-05	0.086574	0.608584	1.00E-05	0.098057	1.00E-05	0.003911	0.071537
3_Vitis_cinerea	x158_171	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.30E-05	1.00E-05	0.999907	1.00E-05	1.00E-05
3_Vitis_cinerea	x159_588134	1.50E-05	1.30E-05	1.00E-05	1.00E-05	1.00E-05	0.999895	1.00E-05	1.00E-05	1.70E-05	1.00E-05
3_Vitis_cinerea	x160_588186	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05
3_Vitis_cinerea	x161_588197	1.40E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.999906	1.00E-05	1.00E-05	1.00E-05	1.00E-05
3_Vitis_cinerea	x162_588198	1.00E-05	1.80E-05	1.00E-05	1.00E-05	1.80E-05	0.999885	1.00E-05	1.00E-05	1.80E-05	1.00E-05
3_Vitis_cinerea	x163_588199	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.999905	1.00E-05	1.00E-05	1.40E-05	1.00E-05
3_Vitis_cinerea	x164_588200	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.50E-05	0.999905	1.00E-05	1.00E-05	1.00E-05	1.00E-05
3_Vitis_cinerea	x165_588205	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.762488	0.006468	0.20623	1.00E-05	0.024754
